project_split,true_angle,dataset,document_type,sample_count,accuracy,mean_confidence,mean_nearest_distance,neighboring_zone_errors
test,0,coru,receipt,15,0.3333333333333333,0.01204895648442291,64.37834014892579,10
test,0,fatura,invoice,14,0.0,0.027505723839690598,42.09537369864328,8
test,0,funsd,form,15,0.06666666666666667,0.014256667446627002,47.57068913777669,5
test,0,sroie,receipt,15,0.2,0.009926055443856758,49.423380788167314,12
test,1,coru,receipt,15,0.6666666666666666,0.01617080547699865,61.28555094401042,5
test,1,fatura,invoice,14,0.0,0.03055310564924098,41.00229971749442,3
test,1,funsd,form,15,0.06666666666666667,0.03256758343706331,46.46772766113281,0
test,1,sroie,receipt,15,0.5333333333333333,0.011143434260196013,49.16156539916992,5
test,45,coru,receipt,15,1.0,0.3159517811913747,31.42229741414388,0
test,45,fatura,invoice,14,0.0,0.3074446100575545,31.7958927154541,0
test,45,funsd,form,15,0.0,0.34841243814241746,27.69219538370768,0
test,45,sroie,receipt,15,0.7333333333333333,0.290026435006704,29.58454157511393,0
test,89,coru,receipt,15,0.8,0.024709574979755074,57.69014663696289,3
test,89,fatura,invoice,14,0.0,0.029808474527832952,43.87515449523926,5
test,89,funsd,form,15,0.0,0.01486439742936108,48.01977030436198,3
test,89,sroie,receipt,15,0.5333333333333333,0.0157896149211777,48.18045399983724,1
test,90,coru,receipt,15,0.4,0.014614383085749194,60.56245524088542,9
test,90,fatura,invoice,14,0.0,0.028678617327740758,44.819811957223074,8
test,90,funsd,form,15,0.0,0.01300329168576359,49.39285481770833,4
test,90,sroie,receipt,15,0.4,0.010687443705789888,48.26449254353841,9
test,91,coru,receipt,15,0.8666666666666667,0.01915844900959618,58.76251093546549,2
test,91,fatura,invoice,14,0.0,0.026891057549560473,44.03356851850237,5
test,91,funsd,form,15,0.0,0.02444080056311144,47.94607187906901,1
test,91,sroie,receipt,15,0.5333333333333333,0.017419047206091384,48.05184707641602,5
test,135,coru,receipt,15,1.0,0.314246088970019,31.3389461517334,0
test,135,fatura,invoice,14,0.0,0.30778929274332373,31.86824335370745,0
test,135,funsd,form,15,0.0,0.3467578069576296,27.743165334065754,0
test,135,sroie,receipt,15,0.7333333333333333,0.2846048290810871,29.714212544759114,0
test,179,coru,receipt,15,0.8,0.01947942973594717,60.873765309651695,3
test,179,fatura,invoice,14,0.0,0.030133822880257,41.07108361380441,3
test,179,funsd,form,15,0.0,0.0175366194670002,46.710728708903,4
test,179,sroie,receipt,15,0.5333333333333333,0.014728845749773484,48.85825017293294,1
test,180,coru,receipt,15,0.0,0.012053989015594593,64.12040481567382,10
test,180,fatura,invoice,14,0.42857142857142855,0.02814456799848918,41.93205615452358,8
test,180,funsd,form,15,0.6666666666666666,0.014356605327343635,47.88389485677083,4
test,180,sroie,receipt,15,0.0,0.010156409737879136,49.4083755493164,12
test,181,coru,receipt,15,0.0,0.01622471634786722,60.87414449055989,5
test,181,fatura,invoice,14,0.7857142857142857,0.029823634720423684,41.23065321786063,3
test,181,funsd,form,15,0.9333333333333333,0.03230400853364924,46.757528177897136,0
test,181,sroie,receipt,15,0.13333333333333333,0.010919221497665962,48.95333506266276,5
test,225,coru,receipt,15,0.0,0.31586335667476934,31.39219487508138,0
test,225,fatura,invoice,14,1.0,0.30933394753397,31.755728721618652,0
test,225,funsd,form,15,1.0,0.34877637481350976,27.689288584391274,0
test,225,sroie,receipt,15,0.26666666666666666,0.28942914929915475,29.647134908040364,0
test,269,coru,receipt,15,0.0,0.025003650202228722,57.214602661132815,3
test,269,fatura,invoice,14,0.6428571428571429,0.02790887175708959,44.01560429164341,5
test,269,funsd,form,15,0.7333333333333333,0.015413136773697926,47.7998041788737,4
test,269,sroie,receipt,15,0.4,0.014313375314049982,47.949659220377605,1
test,270,coru,receipt,15,0.0,0.015262330867165774,60.17814610799154,9
test,270,fatura,invoice,14,0.42857142857142855,0.02706849828002438,45.120814187186106,8
test,270,funsd,form,15,0.7333333333333333,0.012940206616958588,49.31980209350586,4
test,270,sroie,receipt,15,0.0,0.01105566804818331,48.35241521199544,10
test,271,coru,receipt,15,0.0,0.018726550194410198,58.08974812825521,3
test,271,fatura,invoice,14,0.6428571428571429,0.026161688600174832,44.078617095947266,5
test,271,funsd,form,15,0.9333333333333333,0.024209103555335672,47.904292551676434,1
test,271,sroie,receipt,15,0.13333333333333333,0.01815700474383338,47.91285171508789,4
test,315,coru,receipt,15,0.0,0.31455039811913094,31.333224868774415,0
test,315,fatura,invoice,14,1.0,0.3091404570490755,31.77478654044015,0
test,315,funsd,form,15,1.0,0.34747511665814534,27.72335433959961,0
test,315,sroie,receipt,15,0.26666666666666666,0.28500234241756783,29.670893096923827,0
test,359,coru,receipt,15,0.0,0.019317783037668398,61.048623148600264,2
test,359,fatura,invoice,14,0.7857142857142857,0.02995292416620929,41.10036713736398,3
test,359,funsd,form,15,0.7333333333333333,0.017975073128439954,46.52074406941732,4
test,359,sroie,receipt,15,0.4,0.013930716411883494,49.005011240641274,0
