project_split,true_angle,sample_count,accuracy,macro_f1
test,0.0,59,0.15254237288135594,0.0661764705882353
test,1.0,59,0.3220338983050847,0.12179487179487179
test,45.0,59,0.4406779661016949,0.15294117647058825
test,89.0,59,0.3389830508474576,0.12658227848101267
test,90.0,59,0.2033898305084746,0.08450704225352113
test,91.0,59,0.3559322033898305,0.13125
test,135.0,59,0.4406779661016949,0.15294117647058825
test,179.0,59,0.3389830508474576,0.12658227848101267
test,180.0,59,0.2711864406779661,0.10666666666666667
test,181.0,59,0.4576271186440678,0.1569767441860465
test,225.0,59,0.559322033898305,0.1793478260869565
test,269.0,59,0.4406779661016949,0.15294117647058825
test,270.0,59,0.288135593220339,0.1118421052631579
test,271.0,59,0.423728813559322,0.1488095238095238
test,315.0,59,0.559322033898305,0.1793478260869565
test,359.0,59,0.4745762711864407,0.16091954022988506
train,15.0,280,0.3892857142857143,0.14010282776349614
train,30.0,280,0.40714285714285714,0.1446700507614213
train,45.0,280,0.4142857142857143,0.14646464646464646
train,60.0,280,0.39285714285714285,0.14102564102564102
train,75.0,280,0.3821428571428571,0.13824289405684753
train,105.0,280,0.3892857142857143,0.14010282776349614
train,120.0,280,0.39285714285714285,0.14102564102564102
train,135.0,280,0.4142857142857143,0.14646464646464646
train,150.0,280,0.4035714285714286,0.14376590330788805
train,165.0,280,0.3892857142857143,0.14010282776349614
train,195.0,280,0.6107142857142858,0.18957871396895787
train,210.0,280,0.5928571428571429,0.1860986547085202
train,225.0,280,0.5857142857142857,0.18468468468468469
train,240.0,280,0.6071428571428571,0.18888888888888888
train,255.0,280,0.6178571428571429,0.19094922737306844
train,285.0,280,0.6107142857142858,0.18957871396895787
train,300.0,280,0.6071428571428571,0.18888888888888888
train,315.0,280,0.5857142857142857,0.18468468468468469
train,330.0,280,0.5964285714285714,0.18680089485458612
train,345.0,280,0.6107142857142858,0.18957871396895787
validation,0.0,61,0.16393442622950818,0.07042253521126761
validation,1.0,61,0.2459016393442623,0.09868421052631579
validation,45.0,61,0.39344262295081966,0.1411764705882353
validation,89.0,61,0.2459016393442623,0.09868421052631579
validation,90.0,61,0.16393442622950818,0.07042253521126761
validation,91.0,61,0.2786885245901639,0.10897435897435898
validation,135.0,61,0.39344262295081966,0.1411764705882353
validation,179.0,61,0.2786885245901639,0.10897435897435898
validation,180.0,61,0.39344262295081966,0.1411764705882353
validation,181.0,61,0.5245901639344263,0.17204301075268819
validation,225.0,61,0.6065573770491803,0.18877551020408162
validation,269.0,61,0.45901639344262296,0.15730337078651685
validation,270.0,61,0.32786885245901637,0.12345679012345678
validation,271.0,61,0.4918032786885246,0.16483516483516483
validation,315.0,61,0.6065573770491803,0.18877551020408162
validation,359.0,61,0.47540983606557374,0.16111111111111112
